key	name	hemi	roi	color	origin_name	rs_network
205	PSL_l	l	PSL	122 85 60	L_PSL_ROI	4
206	SFL_l	l	SFL	32 53 24	L_SFL_ROI	7
207	PCV_l	l	PCV	138 127 152	L_PCV_ROI	3
208	STV_l	l	STV	142 90 78	L_STV_ROI	7
209	7Pm_l	l	7Pm	151 181 189	L_7Pm_ROI	3
210	7m_l	l	7m	42 32 42	L_7m_ROI	7
211	POS1_l	l	POS1	83 56 99	L_POS1_ROI	7
212	23d_l	l	23d	124 56 87	L_23d_ROI	6
213	v23ab_l	l	v23ab	28 0 12	L_v23ab_ROI	7
214	d23ab_l	l	d23ab	67 23 50	L_d23ab_ROI	7
215	31pv_l	l	31pv	54 13 42	L_31pv_ROI	7
216	5m_l	l	5m	47 161 52	L_5m_ROI	2
217	5mv_l	l	5mv	154 171 138	L_5mv_ROI	4
218	23c_l	l	23c	208 191 196	L_23c_ROI	4
219	5L_l	l	5L	62 152 64	L_5L_ROI	2
220	24dd_l	l	24dd	70 161 45	L_24dd_ROI	2
221	24dv_l	l	24dv	125 159 73	L_24dv_ROI	4
222	7AL_l	l	7AL	116 193 136	L_7AL_ROI	3
223	SCEF_l	l	SCEF	109 149 86	L_SCEF_ROI	4
224	6ma_l	l	6ma	147 181 139	L_6ma_ROI	3
225	7Am_l	l	7Am	185 240 225	L_7Am_ROI	3
226	7PL_l	l	7PL	172 245 240	L_7PL_ROI	3
227	7PC_l	l	7PC	66 175 110	L_7PC_ROI	3
228	LIPv_l	l	LIPv	66 115 161	L_LIPv_ROI	3
229	VIP_l	l	VIP	53 132 141	L_VIP_ROI	3
230	MIP_l	l	MIP	135 203 205	L_MIP_ROI	3
231	1_l	l	1	18 193 37	L_1_ROI	2
232	2_l	l	2	49 176 65	L_2_ROI	3
233	3a_l	l	3a	50 219 24	L_3a_ROI	2
234	6d_l	l	6d	26 158 34	L_6d_ROI	2
235	6mp_l	l	6mp	68 159 41	L_6mp_ROI	2
236	6v_l	l	6v	70 171 53	L_6v_ROI	3
237	p24pr_l	l	p24pr	145 132 106	L_p24pr_ROI	4
238	33pr_l	l	33pr	126 112 104	L_33pr_ROI	4
239	a24pr_l	l	a24pr	172 127 130	L_a24pr_ROI	4
